Date,Price,Open,High,Low,Vol.,Change %
2022-01-01,75.85,75.53,76.18,74.01,112230.0,1.3
2022-01-02,75.85,75.53,76.18,74.01,112230.0,1.3
2022-01-03,75.85,75.53,76.18,74.01,112230.0,1.3
2022-01-04,76.74,75.8,77.4,75.47,156450.0,1.17
2022-01-05,77.47,76.88,78.16,76.25,197970.0,0.95
2022-01-06,78.88,76.79,79.56,76.28,244000.0,1.82
2022-01-07,78.44,79.0,79.82,78.07,229280.0,-0.56
2022-01-08,78.19333333333333,78.83666666666667,79.52,77.82666666666667,223133.33333333334,-0.6866666666666666
2022-01-09,77.94666666666667,78.67333333333333,79.22,77.58333333333333,216986.66666666666,-0.8133333333333332
2022-01-10,77.7,78.51,78.92,77.34,210840.0,-0.94
2022-01-11,80.67,77.87,80.95,77.83,270560.0,3.82
2022-01-12,82.02,80.71,82.41,80.55,303160.0,1.67
2022-01-13,81.62,82.12,82.29,80.91,289310.0,-0.49
2022-01-14,83.3,81.21,83.79,81.1,323110.0,2.06
2022-01-15,83.565,82.495,83.94,82.39,365832.5,1.35
2022-01-16,83.83,83.78,84.09,83.68,408555.0,0.64
2022-01-17,83.69,83.84,83.95,82.94,451277.5,-0.17
2022-01-18,84.83,83.77,85.98,82.93,494000.0,1.36
2022-01-19,85.8,85.89,86.79,84.99,511050.0,1.14
2022-01-20,85.55,85.06,87.1,84.2,532200.0,-0.29
2022-01-21,84.14,83.65,84.53,81.96,159570.0,-1.65
2022-01-22,83.56333333333333,83.71333333333334,84.72,81.66,157656.66666666666,-1.7866666666666666
2022-01-23,82.98666666666666,83.77666666666667,84.91,81.36,155743.33333333334,-1.9233333333333333
2022-01-24,82.41,83.84,85.1,81.06,153830.0,-2.06
2022-01-25,84.37,83.32,84.54,82.14,223590.0,2.38
2022-01-26,85.96,84.1,86.51,83.84,175930.0,1.88
2022-01-27,85.29,85.71,87.08,84.9,153940.0,-0.78
2022-01-28,85.43,86.0,87.36,85.06,144850.0,0.16
2022-01-29,85.78333333333333,85.97333333333333,87.13333333333334,85.02666666666667,144800.0,0.52
2022-01-30,86.13666666666667,85.94666666666667,86.90666666666667,84.99333333333333,144750.0,0.8800000000000001
2022-01-31,86.49,85.92,86.68,84.96,144700.0,1.24
2022-02-01,86.46,86.45,87.12,84.92,151600.0,-0.03
2022-02-02,86.69,86.64,87.93,85.56,189900.0,0.27
2022-02-03,88.45,86.4,88.59,85.24,220870.0,2.03
2022-02-04,90.33,88.33,90.98,88.18,175470.0,2.13
2022-02-05,90.14333333333333,88.84666666666666,90.97666666666667,88.48,199536.66666666666,1.2133333333333334
2022-02-06,89.95666666666666,89.36333333333333,90.97333333333333,88.78,223603.33333333334,0.29666666666666663
2022-02-07,89.77,89.88,90.97,89.08,247670.0,-0.62
2022-02-08,87.9,89.98,90.07,87.07,188540.0,-2.08
2022-02-09,88.53,88.4,89.17,87.15,255170.0,0.72
2022-02-10,88.56,88.84,90.26,87.87,255080.0,0.03
2022-02-11,91.42,88.56,92.74,87.79,310810.0,3.23
2022-02-12,92.11333333333333,89.72666666666667,93.10333333333332,88.67666666666668,278256.6666666667,2.913333333333333
2022-02-13,92.80666666666667,90.89333333333333,93.46666666666667,89.56333333333333,245703.33333333334,2.5966666666666667
2022-02-14,93.5,92.06,93.83,90.45,213150.0,2.28
2022-02-15,90.21,92.84,93.16,88.94,258029.99999999997,-3.52
2022-02-16,91.83,90.31,93.07,88.2,351330.0,1.8
2022-02-17,90.04,89.25,91.51,88.83,442040.0,-1.95
2022-02-18,90.21,90.06,91.07,87.46,566360.0,0.19
2022-02-19,90.91499999999999,90.64,91.405,89.27,622030.0,0.875
2022-02-20,91.62,91.22,91.74,91.08,677700.0,1.56
2022-02-21,92.65,91.62,93.91,89.08,733370.0,1.12
2022-02-22,91.91,91.32,94.95,89.06,789040.0,-0.8
2022-02-23,90.69,90.31,92.36,89.34,150130.0,-1.33
2022-02-24,90.94,91.08,98.44,89.65,289120.0,0.28
2022-02-25,89.89,91.48,93.73,88.49,160460.0,-1.15
2022-02-26,91.09333333333333,91.97666666666667,94.79333333333334,89.8,165783.33333333334,0.5733333333333335
2022-02-27,92.29666666666667,92.47333333333333,95.85666666666667,91.11,171106.66666666666,2.296666666666667
2022-02-28,93.5,92.97,96.92,92.42,176430.0,4.02
2022-03-01,100.21,93.88,103.06,93.21,285550.0,7.18
2022-03-02,107.06,103.43,108.91,101.86,219170.0,6.84
2022-03-03,104.61,107.27,112.65,103.14,190660.0,-2.29
2022-03-04,112.11,105.04,112.54,104.36,167990.0,7.17
2022-03-05,113.34,108.70333333333333,117.16666666666667,106.86333333333333,179513.33333333334,5.876666666666667
2022-03-06,114.57,112.36666666666667,121.79333333333334,109.36666666666667,191036.66666666666,4.583333333333334
2022-03-07,115.8,116.03,126.42,111.87,202560.0,3.29
2022-03-08,119.65,116.98,124.98,113.66,200160.0,3.32
2022-03-09,105.05,120.66,122.73,99.55,249980.0,-12.2
2022-03-10,102.99,106.59,110.91,102.38,203840.0,-1.96
2022-03-11,106.3,103.0,107.17,101.27,166350.0,3.21
2022-03-12,104.59333333333333,104.21333333333334,106.99666666666667,100.14333333333333,164960.0,0.5333333333333328
2022-03-13,102.88666666666667,105.42666666666666,106.82333333333334,99.01666666666667,163570.0,-2.1433333333333344
2022-03-14,101.18,106.64,106.65,97.89,162180.0,-4.82
2022-03-15,94.79,100.55,100.92,92.2,205700.0,-6.32
2022-03-16,93.59,93.7,97.93,92.68,163420.0,-1.27
2022-03-17,101.65,94.08,102.69,93.41,221540.0,8.61
2022-03-18,103.09,102.23,104.67,100.96,207440.0,1.42
2022-03-19,105.38333333333334,102.69333333333334,106.80666666666667,101.46333333333332,231396.66666666666,3.17
2022-03-20,107.67666666666666,103.15666666666667,108.94333333333333,101.96666666666667,255353.33333333334,4.92
2022-03-21,109.97,103.62,111.08,102.47,279310.0,6.67
2022-03-22,109.27,110.91,113.35,107.1,318630.0,-0.64
2022-03-23,111.99,105.84,112.34,105.69,120340.0,2.49
2022-03-24,109.43,111.41,113.51,107.79,106020.0,-2.29
2022-03-25,111.06,108.29,111.26,105.86,103660.0,1.49
2022-03-26,108.51333333333334,108.93333333333334,110.91333333333334,104.05,111023.33333333333,-1.2999999999999996
2022-03-27,105.96666666666667,109.57666666666667,110.56666666666666,102.24000000000001,118386.66666666667,-4.089999999999999
2022-03-28,103.42,110.22,110.22,100.43,125750.0,-6.88
2022-03-29,102.05,101.29,105.45,96.52,119630.0,-1.32
2022-03-30,105.68,103.04,106.44,102.41,83360.0,3.56
2022-03-31,98.52,105.3,105.64,97.88,185640.0,-6.78
2022-04-01,97.9,99.77,100.0,96.22,132550.0,-0.63
