Date,Price,Open,High,Low,Vol.,Change %
2022-01-01,157.5,157.5,157.5,157.5,0.0,-7.13
2022-01-02,157.5,157.5,157.5,157.5,0.0,-7.13
2022-01-03,157.5,157.5,157.5,157.5,0.0,-7.13
2022-01-04,174.1,172.0,174.0,171.0,270.0,10.54
2022-01-05,179.9,180.0,180.0,180.0,20.0,3.33
2022-01-06,196.5,190.0,193.0,189.25,480.0,9.23
2022-01-07,195.9,195.0,195.0,195.0,730.0,-0.31
2022-01-08,196.1,197.66666666666666,198.33333333333334,197.66666666666666,513.3333333333334,-0.10333333333333333
2022-01-09,196.3,200.33333333333334,201.66666666666666,200.33333333333334,296.6666666666667,0.10333333333333333
2022-01-10,196.5,203.0,205.0,203.0,80.0,0.31
2022-01-11,197.1,197.0,198.0,197.0,90.0,0.31
2022-01-12,203.0,205.0,205.0,205.0,40.0,2.99
2022-01-13,211.5,209.5,209.5,209.5,10.0,4.19
2022-01-14,216.75,220.0,220.0,220.0,10.0,2.48
2022-01-15,218.0,220.16666666666666,220.16666666666666,220.16666666666666,10.0,2.23
2022-01-16,219.25,220.33333333333334,220.33333333333334,220.33333333333334,10.0,1.98
2022-01-17,220.5,220.5,220.5,220.5,10.0,1.73
2022-01-18,221.0,221.0,221.0,221.0,10.0,0.23
2022-01-19,223.1,223.1,223.1,223.1,20.0,0.95
2022-01-20,225.65,226.0,226.0,226.0,0.0,1.14
2022-01-21,224.6,225.0,226.0,225.0,0.0,-0.47
2022-01-22,224.81666666666666,225.08333333333334,225.75,225.08333333333334,0.0,-0.21666666666666662
2022-01-23,225.03333333333333,225.16666666666666,225.5,225.16666666666666,0.0,0.036666666666666736
2022-01-24,225.25,225.25,225.25,225.25,0.0,0.29
2022-01-25,227.3,227.3,227.3,227.3,0.0,0.91
2022-01-26,227.8,227.8,227.8,227.8,0.0,0.22
2022-01-27,227.6,227.6,227.6,227.6,0.0,-0.09
2022-01-28,227.65,227.65,227.65,227.65,17.5,0.02
2022-01-29,226.01666666666668,226.01666666666668,226.01666666666668,226.01666666666668,35.0,-0.7033333333333333
2022-01-30,224.38333333333333,224.38333333333333,224.38333333333333,224.38333333333333,52.5,-1.4266666666666665
2022-01-31,222.75,222.75,222.75,222.75,70.0,-2.15
