Date,Price,Open,High,Low,Vol.,Change %
2022-01-01,758.00,774.00,782.25,752.75,42120.0,-1.65
2022-01-02,758.00,774.00,782.25,752.75,42120.0,-1.65
2022-01-03,758.00,774.00,782.25,752.75,42120.0,-1.65
2022-01-04,770.00,758.00,771.50,756.25,43220.0,1.58
2022-01-05,760.75,771.00,771.50,756.00,40240.0,-1.2
2022-01-06,746.00,761.75,762.00,736.00,64430.00000000001,-1.94
2022-01-07,758.50,748.00,760.75,735.50,58460.0,1.68
2022-01-08,762.00,760.75,767.50,748.00,54533.333333333336,1.2733333333333332
2022-01-09,762.00,760.75,767.50,748.00,50606.666666666664,0.8666666666666666
2022-01-10,762.00,760.75,767.50,748.00,46680.0,0.46
2022-01-11,770.25,761.75,770.50,758.25,43840.0,1.08
2022-01-12,757.75,768.00,770.00,753.50,51640.0,-1.62
2022-01-13,746.75,757.00,757.75,741.00,49460.0,-1.45
2022-01-14,741.50,746.00,747.25,737.00,44590.0,-0.7
2022-01-15,769.00,742.25,771.50,741.25,51082.5,0.4025000000000001
2022-01-16,769.00,742.25,771.50,741.25,57575.0,1.5050000000000001
2022-01-17,769.00,742.25,771.50,741.25,64067.5,2.6075
2022-01-18,769.00,742.25,771.50,741.25,70560.0,3.71
2022-01-19,796.50,772.00,797.25,769.50,68430.0,3.58
2022-01-20,790.25,794.00,802.75,783.75,58580.0,-0.78
2022-01-21,780.00,788.00,791.00,778.00,47700.0,-1.3
2022-01-22,800.50,794.00,802.50,775.75,51340.0,0.009999999999999787
2022-01-23,800.50,794.00,802.50,775.75,54980.0,1.3199999999999996
2022-01-24,800.50,794.00,802.50,775.75,58620.0,2.63
2022-01-25,818.00,801.00,831.50,800.50,76140.0,2.19
2022-01-26,795.00,817.25,817.50,787.00,73390.0,-2.81
2022-01-27,777.00,794.25,795.50,774.00,60150.0,-2.26
2022-01-28,786.25,777.25,793.50,774.75,49080.0,1.19
2022-01-29,761.25,793.00,798.50,756.75,56543.333333333336,-0.26666666666666683
2022-01-30,761.25,793.00,798.50,756.75,64006.666666666664,-1.7233333333333336
2022-01-31,761.25,793.00,798.50,756.75,71470.0,-3.18
2022-02-01,769.00,762.50,776.75,760.50,52160.0,1.02
2022-02-02,755.00,770.00,778.50,749.25,67580.0,-1.82
2022-02-03,751.75,754.00,756.50,740.00,52590.0,-0.43
2022-02-04,763.25,754.75,767.25,748.25,50590.0,1.53
2022-02-05,768.75,776.00,776.50,760.00,60876.666666666664,1.26
2022-02-06,768.75,776.00,776.50,760.00,71163.33333333333,0.99
2022-02-07,768.75,776.00,776.50,760.00,81450.0,0.72
2022-02-08,778.75,771.25,782.00,754.00,99520.0,1.3
2022-02-09,785.00,779.50,788.25,770.50,100110.0,0.8
2022-02-10,771.50,785.50,801.75,765.75,95100.0,-1.72
2022-02-11,797.75,770.25,806.25,764.75,101600.0,3.4
2022-02-12,799.25,801.50,813.50,780.75,90960.0,2.33
2022-02-13,799.25,801.50,813.50,780.75,80320.0,1.2599999999999998
2022-02-14,799.25,801.50,813.50,780.75,69680.0,0.19
2022-02-15,779.75,801.25,801.75,773.00,55710.0,-2.44
2022-02-16,780.50,779.75,786.75,773.25,33010.0,0.1
2022-02-17,798.00,780.00,799.25,775.50,47680.0,2.24
2022-02-18,797.00,797.50,812.25,790.00,43500.0,-0.13
2022-02-19,844.25,815.00,846.25,803.00,44430.0,1.3849999999999998
2022-02-20,844.25,815.00,846.25,803.00,45360.0,2.9
2022-02-21,844.25,815.00,846.25,803.00,46290.0,4.415
2022-02-22,844.25,815.00,846.25,803.00,47220.0,5.93
2022-02-23,876.00,841.00,880.00,834.00,28030.0,3.76
2022-02-24,926.00,882.75,926.00,877.25,26660.0,5.71
2022-02-25,843.00,923.25,951.25,841.50,8870.0,-8.96
2022-02-26,928.00,920.25,930.50,885.50,6276.666666666666,-2.613333333333334
2022-02-27,928.00,920.25,930.50,885.50,3683.333333333333,3.7333333333333325
2022-02-28,928.00,920.25,930.50,885.50,1090.0,10.08
2022-03-01,"1,001.75",951.00,"1,004.50",951.00,510.0,7.95
2022-03-02,"1,058.50","1,009.25","1,132.00",997.50,460.0,5.67
2022-03-03,"1,289.00","1,124.25","1,221.00","1,119.00",370.0,21.78
2022-03-04,"1,348.00","1,340.00","1,340.00","1,201.50",150.0,4.58
2022-03-05,"1,425.25","1,311.25","1,311.25","1,311.25",126.66666666666667,4.963333333333334
2022-03-06,"1,425.25","1,311.25","1,311.25","1,311.25",103.33333333333334,5.346666666666667
2022-03-07,"1,425.25","1,311.25","1,311.25","1,311.25",80.0,5.73
2022-03-08,"1,273.00","1,319.25","1,319.25","1,275.50",30.0,-10.68
2022-03-09,"1,199.50","1,284.38","1,284.38","1,200.75",10.0,-5.77
2022-03-10,"1,073.75","1,142.50","1,220.62","1,080.10",10.0,-10.48
