Komoditas_Provinsi,MAPE
Bawang Merah_Aceh,0.05742375242996559
Bawang Merah_Bali,0.04491556507664145
Bawang Merah_Banten,0.042851541251754964
Bawang Merah_Bengkulu,0.06601086567541037
Bawang Merah_DI Yogyakarta,0.08726853682787242
Bawang Merah_DKI Jakarta,0.05154621949064625
Bawang Merah_Gorontalo,0.07090785756710712
Bawang Merah_Jambi,0.05159615005720325
Bawang Merah_Jawa Barat,0.05799752408068366
Bawang Merah_Jawa Tengah,0.04023615256577921
Bawang Merah_Jawa Timur,0.07653901668923555
Bawang Merah_Kalimantan Barat,0.024144172205652646
Bawang Merah_Kalimantan Selatan,0.07294473513699241
Bawang Merah_Kalimantan Tengah,0.05279460657531073
Bawang Merah_Kalimantan Timur,0.04275266589038698
Bawang Merah_Kalimantan Utara,0.03384422703708338
Bawang Merah_Kepulauan Bangka Belitung,0.05862493442808581
Bawang Merah_Kepulauan Riau,0.02634946567805528
Bawang Merah_Lampung,0.04892922078133101
Bawang Merah_Maluku Utara,0.028622554963829306
Bawang Merah_Maluku,0.03970605903432744
Bawang Merah_Nusa Tenggara Barat,0.08222456306243056
Bawang Merah_Nusa Tenggara Timur,0.0627769825409837
Bawang Merah_Papua Barat,0.04105064393037335
Bawang Merah_Papua,0.026686800287224616
Bawang Merah_Riau,0.049072088799855654
Bawang Merah_Sulawesi Barat,0.056174419260721795
Bawang Merah_Sulawesi Selatan,0.047550769200665116
Bawang Merah_Sulawesi Tengah,0.05478329027126569
Bawang Merah_Sulawesi Tenggara,0.06036336339316956
Bawang Merah_Sulawesi Utara,0.0477526949678618
Bawang Merah_Sumatera Barat,0.057759089131387935
Bawang Merah_Sumatera Selatan,0.061043752180216404
Bawang Merah_Sumatera Utara,0.05618255861680326
Bawang Putih Bonggol_Aceh,0.009943851741343697
Bawang Putih Bonggol_Bali,0.012087489093536451
Bawang Putih Bonggol_Banten,0.01743720545692754
Bawang Putih Bonggol_Bengkulu,0.015040725532668078
Bawang Putih Bonggol_DI Yogyakarta,0.014290764290518504
Bawang Putih Bonggol_DKI Jakarta,0.04133877007043971
Bawang Putih Bonggol_Gorontalo,0.021540180044719293
Bawang Putih Bonggol_Jambi,0.012368357832999045
Bawang Putih Bonggol_Jawa Barat,0.008775640855104395
Bawang Putih Bonggol_Jawa Tengah,0.015732480474657626
Bawang Putih Bonggol_Jawa Timur,0.019501161484791373
Bawang Putih Bonggol_Kalimantan Barat,0.029241652387884214
Bawang Putih Bonggol_Kalimantan Selatan,0.013031968863994768
Bawang Putih Bonggol_Kalimantan Tengah,0.020208682577369946
Bawang Putih Bonggol_Kalimantan Timur,0.024842766339316376
Bawang Putih Bonggol_Kalimantan Utara,0.014285571061858118
Bawang Putih Bonggol_Kepulauan Bangka Belitung,0.013647808310582881
Bawang Putih Bonggol_Kepulauan Riau,0.026443845739482264
Bawang Putih Bonggol_Lampung,0.016107047481757078
Bawang Putih Bonggol_Maluku Utara,0.04297599414345696
Bawang Putih Bonggol_Maluku,0.029335845491015616
Bawang Putih Bonggol_Nusa Tenggara Barat,0.0188351644570024
Bawang Putih Bonggol_Nusa Tenggara Timur,0.02809337500603941
Bawang Putih Bonggol_Papua Barat,0.03823581679976467
Bawang Putih Bonggol_Papua,0.0188935568767562
Bawang Putih Bonggol_Riau,0.010494832006738515
Bawang Putih Bonggol_Sulawesi Barat,0.013719454072070128
Bawang Putih Bonggol_Sulawesi Selatan,0.015238446893270198
